,year,night,frame,channel,path
185,08,103,035,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_035_001_25_B.fits
186,08,103,038,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_038_001_25_B.fits
187,08,103,041,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_041_001_25_B.fits
188,08,103,044,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_044_001_25_B.fits
189,08,263,035,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/263/08_263_035_001_25_R.fits
190,08,263,038,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/263/08_263_038_001_25_R.fits
191,08,263,035,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/263/08_263_035_001_25_B.fits
192,08,263,038,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/263/08_263_038_001_25_B.fits
193,08,200,123,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_123_001_25_R.fits
194,08,200,125,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_125_001_25_R.fits
195,08,200,128,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_128_001_25_R.fits
196,08,200,131,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_131_001_25_R.fits
197,08,200,134,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_134_001_25_R.fits
198,08,200,137,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_137_001_25_R.fits
199,08,200,123,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_123_001_25_B.fits
200,08,200,125,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_125_001_25_B.fits
201,08,200,128,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_128_001_25_B.fits
202,08,200,131,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_131_001_25_B.fits
203,08,200,137,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_137_001_25_B.fits
204,08,200,134,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/200/08_200_134_001_25_B.fits
205,08,259,110,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_110_001_25_R.fits
206,08,259,112,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_112_001_25_R.fits
207,08,259,114,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_114_001_25_R.fits
208,08,259,110,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_110_001_25_B.fits
209,08,259,112,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_112_001_25_B.fits
210,08,259,114,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/259/08_259_114_001_25_B.fits
211,08,109,116,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_116_001_25_R.fits
212,08,109,118,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_118_001_25_R.fits
213,08,109,120,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_120_001_25_R.fits
214,08,109,116,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_116_001_25_B.fits
215,08,109,118,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_118_001_25_B.fits
216,08,109,120,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/109/08_109_120_001_25_B.fits
217,08,188,108,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_108_001_25_R.fits
218,08,188,110,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_110_001_25_R.fits
219,08,188,112,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_112_001_25_R.fits
220,08,188,108,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_108_001_25_B.fits
221,08,188,110,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_110_001_25_B.fits
222,08,188,112,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/188/08_188_112_001_25_B.fits
223,08,234,120,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/234/08_234_120_001_25_R.fits
224,08,234,122,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/234/08_234_122_001_25_R.fits
225,08,234,124,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/234/08_234_124_001_25_R.fits
226,08,234,120,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/234/08_234_120_001_25_B.fits
227,08,234,122,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/234/08_234_122_001_25_B.fits
